    Jan-Mar_2022_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
  44   3  -93.00  -85.00        0.3809
  45   3  -91.00  -85.00        0.3809
  46   3  -89.00  -85.00        0.3809
  47   3  -87.00  -85.00        0.3809
  48   3  -85.00  -85.00        0.3809
  49   3  -83.00  -85.00        0.3809
  50   3  -81.00  -85.00        0.3809
  51   3  -79.00  -85.00        0.3809
  52   3  -77.00  -85.00        0.3809
  53   3  -75.00  -85.00        0.3809
  54   3  -73.00  -85.00        0.3809
  55   3  -71.00  -85.00        0.3809
  56   3  -69.00  -85.00        0.3809
  57   3  -67.00  -85.00        0.3809
  58   3  -65.00  -85.00        0.3809
  59   3  -63.00  -85.00        0.3809
  60   3  -61.00  -85.00        0.3809
  61   3  -59.00  -85.00        0.3809
  62   3  -57.00  -85.00        0.3809
  63   3  -55.00  -85.00        0.3809
  64   3  -53.00  -85.00        0.3809
  65   3  -51.00  -85.00        0.3809
  66   3  -49.00  -85.00        0.3809
  67   3  -47.00  -85.00        0.3809
  68   3  -45.00  -85.00        0.3809
  69   3  -43.00  -85.00        0.3809
  70   3  -41.00  -85.00        0.3809
  71   3  -39.00  -85.00        0.3809
  72   3  -37.00  -85.00        0.3809
  73   3  -35.00  -85.00        0.3809
  74   3  -33.00  -85.00        0.3809
  75   3  -31.00  -85.00        0.3809
  76   3  -29.00  -85.00        0.3809
  77   3  -27.00  -85.00        0.3809
  78   3  -25.00  -85.00        0.3809
  79   3  -23.00  -85.00        0.3809
  80   3  -21.00  -85.00        0.3809
  81   3  -19.00  -85.00        0.3809
  82   3  -17.00  -85.00        0.3809
  83   3  -15.00  -85.00        0.3809
  84   3  -13.00  -85.00        0.3809
  85   3  -11.00  -85.00        0.3809
  86   3   -9.00  -85.00        0.3809
  87   3   -7.00  -85.00        0.3809
  88   3   -5.00  -85.00        0.3809
  89   3   -3.00  -85.00        0.3809
  90   3   -1.00  -85.00        0.3809
  91   3    1.00  -85.00        0.3809
  92   3    3.00  -85.00        0.3809
  93   3    5.00  -85.00        0.3809
  94   3    7.00  -85.00        0.3809
  95   3    9.00  -85.00        0.3809
  96   3   11.00  -85.00        0.3809
